unique_id,ds,y,Autoformer,LSTM,NHITS,BiTCN,DeepAR,KAN,MLP,NBEATS,PatchTST,TCN,TFT,cutoff_value,position
NVDA,2024-09-03 06:40:00-04:00,116.89,117.16729,117.226524,117.00667,117.0053,117.025925,116.90698,116.99076,117.07511,117.023094,117.71849,117.021255,117.03,1
NVDA,2024-09-03 06:45:00-04:00,116.92,117.25793,117.24987,117.02077,117.00373,117.050255,117.019,116.98741,117.12264,117.00683,117.845634,117.02732,117.03,2
NVDA,2024-09-03 06:50:00-04:00,117.1,117.18484,117.281624,117.00012,117.015785,117.060875,116.96439,117.00771,117.12741,116.98,117.86657,117.03142,117.03,3
NVDA,2024-09-03 06:55:00-04:00,117.21,117.03416,117.26603,116.904175,117.02951,117.03164,116.94785,117.015686,117.08577,116.99331,117.767105,117.03423,117.03,4
NVDA,2024-09-03 07:00:00-04:00,117.03,116.97642,117.2868,116.876526,117.0182,117.01254,116.92799,117.010155,117.11476,117.00312,117.86208,117.0362,117.03,5
NVDA,2024-09-03 07:05:00-04:00,116.84,116.98692,117.23543,116.92906,117.08815,117.03365,117.05295,117.013374,116.93941,117.029884,117.91796,117.02638,117.03,0
NVDA,2024-09-03 07:10:00-04:00,116.58,116.91819,117.20415,116.870636,117.082794,117.06072,117.07514,116.94154,116.855316,117.04569,117.77741,117.02899,117.03,1
NVDA,2024-09-03 07:15:00-04:00,116.79,116.999405,117.22724,116.78048,117.08557,117.10963,117.05339,116.91018,116.74913,117.03719,117.907425,117.03298,117.03,2
NVDA,2024-09-03 07:20:00-04:00,116.9,116.9665,117.26032,116.725174,117.08408,117.147964,116.97415,116.86861,116.70856,117.02286,117.91993,117.03543,117.03,3
NVDA,2024-09-03 07:25:00-04:00,116.96,116.94566,117.241234,116.764656,117.09029,117.13039,117.021126,116.892586,116.68217,117.02701,117.808685,117.037094,117.03,4
NVDA,2024-09-03 07:30:00-04:00,117.16,116.8374,117.26307,116.741714,117.06979,117.15072,117.00402,116.89019,116.70263,117.03962,117.91492,117.038414,117.03,5
NVDA,2024-09-03 07:35:00-04:00,117.14,117.08131,117.358765,117.22247,117.095985,117.134315,117.12951,117.11979,117.20164,117.153786,117.87542,117.1514,117.16,0
NVDA,2024-09-03 07:40:00-04:00,117.02,117.00559,117.33366,117.29905,117.0854,117.150444,117.144516,117.20112,117.31393,117.159035,117.72466,117.155655,117.16,1
NVDA,2024-09-03 07:45:00-04:00,116.85,117.03636,117.358894,117.38314,117.09721,117.198814,117.180885,117.237595,117.44165,117.14731,117.86109,117.158585,117.16,2
NVDA,2024-09-03 07:50:00-04:00,117.0,117.07335,117.39038,117.390976,117.0709,117.23033,117.208565,117.22211,117.47469,117.154434,117.87171,117.162125,117.16,3
NVDA,2024-09-03 07:55:00-04:00,116.98,117.137825,117.37217,117.373726,117.09362,117.14029,117.21177,117.25598,117.5373,117.14754,117.755684,117.16533,117.16,4
NVDA,2024-09-03 08:00:00-04:00,116.82,117.01762,117.39218,117.33964,117.06901,117.09756,117.196754,117.28431,117.53307,117.17918,117.864334,117.16799,117.16,5
NVDA,2024-09-03 08:05:00-04:00,117.03,116.40516,117.038925,116.75759,116.868744,116.706894,116.87004,116.84723,116.86914,116.831894,117.83966,116.81975,116.82,0
